year,epi_week,county,age_group,ili_percentage,population
2023,1,Kisumu,>50yrs,3.6,2277
2023,2,Kisumu,>50yrs,2.2,5418
2023,3,Kisumu,>50yrs,3.6,2264
2023,4,Kisumu,>50yrs,6,5509
2023,5,Kisumu,>50yrs,4.4,3522
2023,1,Nakuru,>50yrs,2.9,8701
2023,2,Nakuru,>50yrs,5.9,3403
2023,3,Nakuru,>50yrs,1.9,8754
2023,4,Nakuru,>50yrs,5.5,9180
2023,5,Nakuru,>50yrs,5.1,6902
2023,1,Machakos,>50yrs,2.4,7603
2023,2,Machakos,>50yrs,2.2,9504
2023,3,Machakos,>50yrs,5.9,4368
2023,4,Machakos,>50yrs,2.9,6941
2023,5,Machakos,>50yrs,2.5,5077
2023,1,Kiambu,>50yrs,5.3,1956
2023,2,Kiambu,>50yrs,4.6,4555
2023,3,Kiambu,>50yrs,3.9,6077
2023,4,Kiambu,>50yrs,5.2,1684
2023,5,Kiambu,>50yrs,0.5,3706
2023,1,Kakamega,>50yrs,4.9,3083
2023,2,Kakamega,>50yrs,4.2,4405
2023,3,Kakamega,>50yrs,3.4,8615
2023,4,Kakamega,>50yrs,4.7,3300
2023,5,Kakamega,>50yrs,6.1,7747
2024,1,Nairobi,0-4yrs,3.2,3658
2024,2,Nairobi,0-4yrs,4.9,2765
2024,3,Nairobi,0-4yrs,3.8,609
2024,4,Nairobi,0-4yrs,3.9,1118
2024,5,Nairobi,0-4yrs,3.9,526
2024,1,Mombasa,0-4yrs,7.4,1633
2024,2,Mombasa,0-4yrs,3.6,7567
2024,3,Mombasa,0-4yrs,5,4862
2024,4,Mombasa,0-4yrs,0.5,4157
2024,5,Mombasa,0-4yrs,6,6466
2024,1,Kisumu,0-4yrs,1.3,2647
2024,2,Kisumu,0-4yrs,5.8,4029
2024,3,Kisumu,0-4yrs,3.4,1735
2024,4,Kisumu,0-4yrs,1.4,2115
2024,5,Kisumu,0-4yrs,3,6374
2024,1,Nakuru,0-4yrs,5.1,5338
2024,2,Nakuru,0-4yrs,3.1,1424
2024,3,Nakuru,0-4yrs,1.4,4753
2024,4,Nakuru,0-4yrs,2.7,1750
2024,5,Nakuru,0-4yrs,4.1,4693
2024,1,Machakos,0-4yrs,3.5,5415
2024,2,Machakos,0-4yrs,2.9,1832
2024,3,Machakos,0-4yrs,4.6,8625
2024,4,Machakos,0-4yrs,6.2,7068
2024,5,Machakos,0-4yrs,5,1967
2024,1,Kiambu,0-4yrs,2.8,5346
2024,2,Kiambu,0-4yrs,5,4478
2024,3,Kiambu,0-4yrs,4.4,2945
2024,4,Kiambu,0-4yrs,4.1,5920
2024,5,Kiambu,0-4yrs,4.4,6769
2024,1,Kakamega,0-4yrs,4.3,2080
2024,2,Kakamega,0-4yrs,6.1,8678
2024,3,Kakamega,0-4yrs,6,5868
2024,4,Kakamega,0-4yrs,5.6,9194
2024,5,Kakamega,0-4yrs,5.1,3673
2024,1,Nairobi,5-14yrs,3.9,8557
2024,2,Nairobi,5-14yrs,2.6,6552
2024,3,Nairobi,5-14yrs,4.9,2780
2024,4,Nairobi,5-14yrs,4.7,830
2024,5,Nairobi,5-14yrs,2.4,3639
2024,1,Mombasa,5-14yrs,4.4,5210
2024,2,Mombasa,5-14yrs,3.8,8829
2024,3,Mombasa,5-14yrs,4.9,3535
2024,4,Mombasa,5-14yrs,3.7,3655
2024,5,Mombasa,5-14yrs,5.2,8699
2024,1,Kisumu,5-14yrs,3.3,8566
2024,2,Kisumu,5-14yrs,6.1,4771
2024,3,Kisumu,5-14yrs,2.7,7173
2024,4,Kisumu,5-14yrs,1.8,6341
2024,5,Kisumu,5-14yrs,5,7661
2024,1,Nakuru,5-14yrs,5.6,2811
2024,2,Nakuru,5-14yrs,6.8,3778
2024,3,Nakuru,5-14yrs,4.2,8854
2024,4,Nakuru,5-14yrs,3.8,9747
2024,5,Nakuru,5-14yrs,4.2,989
2024,1,Machakos,5-14yrs,4.2,9726
2024,2,Machakos,5-14yrs,3.2,2945
2024,3,Machakos,5-14yrs,3.4,9037
2024,4,Machakos,5-14yrs,8.1,772
2024,5,Machakos,5-14yrs,4.2,9109
2024,1,Kiambu,5-14yrs,1.8,8854
2024,2,Kiambu,5-14yrs,2.5,9165
2024,3,Kiambu,5-14yrs,3.4,5115
2024,4,Kiambu,5-14yrs,1,9359
2024,5,Kiambu,5-14yrs,4.3,6740
2024,1,Kakamega,5-14yrs,3.3,5355
2024,2,Kakamega,5-14yrs,5.7,2616
2024,3,Kakamega,5-14yrs,2.4,1782
2024,4,Kakamega,5-14yrs,5.8,741
2024,5,Kakamega,5-14yrs,3.9,8155
2024,1,Nairobi,15-49yrs,2.7,2342
2024,2,Nairobi,15-49yrs,4,9992
2024,3,Nairobi,15-49yrs,5.7,3570
2024,4,Nairobi,15-49yrs,3.4,1246
2024,5,Nairobi,15-49yrs,2.4,1437
2024,1,Mombasa,15-49yrs,1.7,6037
2024,2,Mombasa,15-49yrs,3.6,1399
2024,3,Mombasa,15-49yrs,2.1,2922
2024,4,Mombasa,15-49yrs,2.8,5286
2024,5,Mombasa,15-49yrs,5.9,3068
2024,1,Kisumu,15-49yrs,2.4,2225
2024,2,Kisumu,15-49yrs,3.5,4616
2024,3,Kisumu,15-49yrs,6.1,1458
2024,4,Kisumu,15-49yrs,4.7,2919
2024,5,Kisumu,15-49yrs,5.3,3663
2024,1,Nakuru,15-49yrs,5.3,7340
2024,2,Nakuru,15-49yrs,6.5,6285
2024,3,Nakuru,15-49yrs,3.8,8392
2024,4,Nakuru,15-49yrs,5,5398
2024,5,Nakuru,15-49yrs,4,5404
2024,1,Machakos,15-49yrs,3.1,9085
2024,2,Machakos,15-49yrs,4.4,6899
2024,3,Machakos,15-49yrs,2,4161
2024,4,Machakos,15-49yrs,4.8,8749
2024,5,Machakos,15-49yrs,1.6,9171
2024,1,Kiambu,15-49yrs,3.5,5106
2024,2,Kiambu,15-49yrs,2.1,2918
2024,3,Kiambu,15-49yrs,5.6,4949
2024,4,Kiambu,15-49yrs,4.9,3231
2024,5,Kiambu,15-49yrs,4.2,8686
2024,1,Kakamega,15-49yrs,4.5,1315
2024,2,Kakamega,15-49yrs,7.1,5769
2024,3,Kakamega,15-49yrs,2.3,3271
2024,4,Kakamega,15-49yrs,2.4,8251
2024,5,Kakamega,15-49yrs,3.7,9634
2024,1,Nairobi,>50yrs,7.1,2039
2024,2,Nairobi,>50yrs,3.9,1564
2024,3,Nairobi,>50yrs,4.1,3257
2024,4,Nairobi,>50yrs,6.2,5244
2024,5,Nairobi,>50yrs,2.1,914
2024,1,Mombasa,>50yrs,3.5,953
2024,2,Mombasa,>50yrs,2.4,5092
2024,3,Mombasa,>50yrs,3.7,4540
2024,4,Mombasa,>50yrs,3.6,8326
2024,5,Mombasa,>50yrs,5.9,3934
2024,1,Kisumu,>50yrs,5.4,4820
2024,2,Kisumu,>50yrs,3.3,5141
2024,3,Kisumu,>50yrs,3.4,7466
2024,4,Kisumu,>50yrs,4,4399
2024,5,Kisumu,>50yrs,2.6,8762
2024,1,Nakuru,>50yrs,5.5,2490
2024,2,Nakuru,>50yrs,5.9,9480
2024,3,Nakuru,>50yrs,7.1,1765
2024,4,Nakuru,>50yrs,4,534
2024,5,Nakuru,>50yrs,2.5,4796
2024,1,Machakos,>50yrs,4.1,8178
2024,2,Machakos,>50yrs,4.3,3662
2024,3,Machakos,>50yrs,2.4,986
2024,4,Machakos,>50yrs,4.1,4612
2024,5,Machakos,>50yrs,3.4,3079
2024,1,Kiambu,>50yrs,5.5,4045
2024,2,Kiambu,>50yrs,1.2,4753
2024,3,Kiambu,>50yrs,5.6,7779
2024,4,Kiambu,>50yrs,3.7,3677
2024,5,Kiambu,>50yrs,4.1,8204
2024,1,Kakamega,>50yrs,4.1,6386
2024,2,Kakamega,>50yrs,4.6,8983
2024,3,Kakamega,>50yrs,6,3554
2024,4,Kakamega,>50yrs,2.1,9860
2024,5,Kakamega,>50yrs,5.8,3411
